list,keyword,volume,cpc_low_sek,cpc_high_sek
pizza-empanada-carne,pizza cerca de mí,14800,5.75,14.58
pizza-empanada-carne,pizza,12100,4.07,10.41
pizza-empanada-carne,opizza,12100,4.07,10.41
pizza-empanada-carne,empanada,5400,3.32,9.12
pizza-empanada-carne,lomito,4400,4.07,10.81
pizza-empanada-carne,pizzerias,4400,5.45,13.59
pizza-empanada-carne,carne,3600,,
pizza-empanada-carne,empanadas areco,3600,,
pizza-empanada-carne,pizza napolitana,2900,,
pizza-empanada-carne,tacos,2400,,
pizza-empanada-carne,pizzabrosa,2400,5.26,9.02
pizza-empanada-carne,punto carne,2400,,
pizza-empanada-carne,pizzerías,1900,4.26,12.60
pizza-empanada-carne,asado en olla,1900,,
pizza-empanada-carne,empanada de mandioca,1900,,
pizza-empanada-carne,queso paraguay,1600,,
pizza-empanada-carne,cerdo,1600,,
pizza-empanada-carne,pizza margarita,1300,,
pizza-empanada-carne,empanadas don oso,1300,,
pizza-empanada-carne,sandwich de lomito,1300,,
pizza-empanada-carne,tortillas,1000,,
pizza-empanada-carne,pizza casera,1000,,
pizza-empanada-carne,hamburgeses,1000,3.32,7.34
pizza-empanada-carne,tomahawk carne,880,,
pizza-empanada-carne,pizzahouse,880,,
pizza-empanada-carne,rica pizza,880,,
pizza-empanada-carne,carne de vacuno,880,,
pizza-empanada-carne,napolitana pizza,880,,
pizza-empanada-carne,carne magra,880,,
pizza-empanada-carne,cecinas,880,,
pizza-empanada-carne,don vito empanadas,880,4.66,15.67
pizza-empanada-carne,magra carne,880,,
pizza-empanada-carne,chuleton,720,,
pizza-empanada-carne,sicilia pizza,720,,
pizza-empanada-carne,chuleta,720,,
pizza-empanada-carne,pizzeria la italiana,720,,
pizza-empanada-carne,lomito de cerdo,720,,
pizza-empanada-carne,la italiana pizzeria,720,5.45,12.20
pizza-empanada-carne,pizza muzzarella,720,,
pizza-empanada-carne,cortes de carne,590,,
pizza-empanada-carne,carne molida,590,,
pizza-empanada-carne,tacos mexicanos,590,,
pizza-empanada-carne,pizza italiana,590,,
pizza-empanada-carne,carne de res,590,,
pizza-empanada-carne,pizza de pepperoni,590,,
pizza-empanada-carne,pizza mexicana,590,,
pizza-empanada-carne,chuleta de cerdo,590,,
pizza-empanada-carne,empanadas de carne,590,,
pizza-empanada-carne,vacio carne,590,,
pizza-empanada-carne,pan de carne,590,,
pizza-empanada-carne,calabresa pizza,590,,
pizza-empanada-carne,pizza mozzarella,480,,
pizza-empanada-carne,solomillo,480,,
pizza-empanada-carne,pizzeria italiana,480,,
pizza-empanada-carne,pizza rica,480,,
pizza-empanada-carne,pizzeria al capone,480,,
pizza-empanada-carne,empanadas de pollo,480,,
pizza-empanada-carne,pizza calabresa,480,,
pizza-empanada-carne,sapore pizza,480,,
pizza-empanada-carne,fugazzeta,480,,
pizza-empanada-carne,areco empanadas,480,,
pizza-empanada-carne,buey,480,,
pizza-empanada-carne,lomito árabe,480,,
pizza-empanada-carne,mir empanadas,480,,
pizza-empanada-carne,domino's pizza cerca de mí,390,,
pizza-empanada-carne,megapizza,390,,
pizza-empanada-carne,pizza cerca,390,7.14,13.29
pizza-empanada-carne,pernil de cerdo,390,,
pizza-empanada-carne,carne de cerdo,390,,
pizza-empanada-carne,la pizza nostra,390,,
pizza-empanada-carne,pizza napoles,390,,
pizza-empanada-carne,empanadas de choclo,390,,
pizza-empanada-carne,empanada casera,390,,
pizza-empanada-carne,empanada de huevo,390,,
pizza-empanada-carne,picanha,320,,
pizza-empanada-carne,tacos al pastor,320,,
pizza-empanada-carne,carne de wagyu,320,,
pizza-empanada-carne,carne de caballo,320,,
pizza-empanada-carne,pechuga de pollo precio,320,1.09,14.88
pizza-empanada-carne,pizzeria argentina,320,,
pizza-empanada-carne,carni,320,,
pizza-empanada-carne,la toscana pizzeria,320,,
pizza-empanada-carne,pizzeria la argentina,320,,
pizza-empanada-carne,la pizzeria,260,,
pizza-empanada-carne,pizzeria cerca,260,5.85,14.38
pizza-empanada-carne,tortillas de maiz,260,,
pizza-empanada-carne,pizza peperoni,260,,
pizza-empanada-carne,carne para asado,260,,
pizza-empanada-carne,pizza primavera,260,,
pizza-empanada-carne,pizza pulcinella,260,,
pizza-empanada-carne,tortilla de maíz,260,,
pizza-empanada-carne,pizzeria o sole mio,260,,
pizza-empanada-carne,hamburguesa de pollo,260,,
pizza-empanada-carne,ternera,260,,
pizza-empanada-carne,chuleton de vaca,260,,
pizza-empanada-carne,alta pizza,260,,
pizza-empanada-carne,tortillas de maíz,260,,
pizza-empanada-carne,pizzeria napoles,260,,
pizza-empanada-carne,napoles pizzeria,260,,
pizza-empanada-carne,hamburpizza,260,,
